date,address,type,WAT,risk_level,risk_description
2023-09-14,0x96794f03b3114f50b892b0dec79d753658c931ee,General_Trending_Risky,41193,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xba509bdb71a29301860800e13867b59b461747af,General_Trending_Risky,36224,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x0000000000275508225df0cca6a8a5ba83357a9a,General_Trending_Risky,34447,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x00000000000e8716b4e2d12400a01474cdfad760,General_Trending_Risky,33666,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x441ccc7891d55efd804d909281de8889317a2ab9,General_Trending_Risky,33481,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xfa0df920ae835fc68aa5cedac9c930a64f44c26c,General_Trending_Risky,31563,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xd3d2fb3165def479310144e37e68c1e824526e36,General_Trending_Risky,31523,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x6249e7398eb7db56bc57cfb32f1976b2eeccdfbb,General_Trending_Risky,30161,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x04f4ba78e1503b5ac6fd522f753e2229dd3a70bf,General_Trending_Risky,26054,4,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x0000000000016a723d0d576df7dc79ec149ac760,General_Trending_Risky,25221,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x4cb680a2589d742c30556e359a352f9c511eef54,General_Trending_Risky,22519,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x04f46cdfe8dd348e41902eef1aff19ace1661f4c,General_Trending_Risky,22066,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0x0000000000cc1ffb95df1486af6dacb26d6d1af0,General_Trending_Risky,21824,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xf32b7c76a0e6c9929c68d69aa0acddd67b2ec0d1,General_Trending_Risky,21673,3,"The address is related to a coin mixer platform such as Tornado.Cash, which could mean some potential risks, please be careful of scam risk"
2023-09-14,0x00000000000f0d39a566a8e773e9977b45e5cbd8,General_Trending_Risky,20467,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x000000000027583d895e5c06b7b9e96762c1e165,General_Trending_Risky,20239,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x00000000004712b0169adce3dcf583fada3dc0e0,General_Trending_Risky,20023,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x000000000091c4f781762b78ca44e68ff1ed84ae,General_Trending_Risky,19535,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xcfa40a7ae369ba43b71348a66712f44e37a5b0a1,General_Trending_Risky,19482,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xcecce97529effc360f68b3f26eef4ad74ebf5705,General_Trending_Risky,19316,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xa835518bfb844820be6e623d167b7471e92ac6b7,General_Trending_Risky,18274,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x13fd16538ff8b3aea324bc4d2863eb9ea78e1691,General_Trending_Risky,18171,3,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0xfdc9018af0e37abf89233554c937eb5068127080,General_Trending_Risky,18123,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk."
2023-09-14,0xef2b07b1fec00caccdd8dadeaa25900c808ca3dd,General_Trending_Risky,17917,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,General_Trending_Risky,17210,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x0000000000001b0ead393ec554c5230004590aa4,General_Trending_Risky,15527,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x20f7d5724465d724cabfa550448feed66347ab9e,General_Trending_Risky,15428,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x285a3ac600cfb62875c86a2a958eb1b71bc22415,General_Trending_Risky,14594,4,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x8cf72c804bb61ccb3e4580053c471f5b750ca7b4,General_Trending_Risky,14072,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x76d9a7c6164de3bc4d95ef0c011d3d22eb8b4d60,General_Trending_Risky,13949,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0x402f3d3c14843ff0988be69c1042b4e71a014a7d,General_Trending_Risky,13115,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x000000000003a3c2878a1df56a486c9683220456,General_Trending_Risky,12639,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x0000000000a96f1597cbe1e443557c3c8895dba8,General_Trending_Risky,12268,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x00000000004e660d7929b04626bbf28cbecce534,General_Trending_Risky,12214,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x377b40a4ab2b8bbc40c5175e7a89f79cdd80ad68,General_Trending_Risky,12195,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xe341f30ea040bf3691aa069b8c5c213f72676421,General_Trending_Risky,11835,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0x40e1ca7b92dcebd2bc6e08e14f1e65ebdc8e492d,General_Trending_Risky,11535,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x00000000001f8b68515efb546542397d3293ccfd,General_Trending_Risky,11436,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x84b221ac6c1a21a2ad8d477ecf313d4dc5b4cc56,General_Trending_Risky,10856,3,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x685bfdd3c2937744c13d7de0821c83191e3027ff,General_Trending_Risky,10441,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xff153aaab90deb8d88c3e7e9e0737b03a5e8b93c,General_Trending_Risky,9984,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x9a703326e8ac3f2a08fe012f36a1ec8b0d2d47a1,General_Trending_Risky,9779,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xf81b573680dbb84b80be5aeacbc4f2f08107f85b,General_Trending_Risky,9776,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xf8883d67b7fcdf68e8e100368b0f26b8f9ab91e8,General_Trending_Risky,9660,3,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0xc0752c6f2a919d4a48eb5037189d55d0c7f67b43,General_Trending_Risky,9389,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x038efbc7817d528eeff860091259fd17da8efd4e,General_Trending_Risky,9183,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x1514c766127378ea9653f9f4428fe25f3fd256c3,General_Trending_Risky,9042,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x4fe59adcf621489ced2d674978132a54d432653a,General_Trending_Risky,8995,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xe19417837d8e61f17dfae2e6a11b1e4810dae2a5,General_Trending_Risky,8911,3,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0xc20a079c7962d9fc92173cda349e80d484dfa42a,General_Trending_Risky,8892,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk."
2023-09-14,0x0000000000f92b9350f41fa6cd93be16ff7649db,General_Trending_Risky,8821,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x4799c398bf0c202a985149796524c34043d62df9,General_Trending_Risky,8781,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0xefa48952f3f82ba7fd1b45b1a993c362bf043571,General_Trending_Risky,8762,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xe9f183fc656656f1f17af1f2b0df79b8ff9ad8ed,General_Trending_Risky,8602,3,"The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0xae90ca218f9c3b1aa84af33a7907e4890ec6a167,General_Trending_Risky,8393,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0xce93f9827813761665ce348e33768cb1875a9704,General_Trending_Risky,8082,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x2c9eab9684eafb41266fa8b7321169b20db04826,General_Trending_Risky,7767,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x1e757ddf14a6290165e6fecab42159f298d5bf16,General_Trending_Risky,7682,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x0d051b0496436f4483a2e26ebecd16d96f011d05,General_Trending_Risky,7616,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xac90d1742bc55f896b6fd1f2e1a1381d0c1c3adc,General_Trending_Risky,7565,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x9801da0aa142749295692c7cb3241e4ee2b80bda,General_Trending_Risky,7355,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x15f6ee014ad34c52ac25e4e50dcbc6e4e4d86582,General_Trending_Risky,7215,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x37184f77d46249cd1e330ce1dc23f0ea2f8e81f2,General_Trending_Risky,7143,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0xc9e708564fb879129c89fe6e7f540911cb5c05ee,General_Trending_Risky,7125,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x0f3343f82f19b4d41e1d57a96e3082660c44494b,General_Trending_Risky,6951,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x3fad43372907f503ee73d96d4305f2f392c68269,General_Trending_Risky,6686,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x0000000000f83bf708c3e3bd57f24411f6fc67f5,General_Trending_Risky,6485,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x00000000009e6b0ccb80e7fb1cced2d773428756,General_Trending_Risky,6446,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x35125efdbbb6e2f031f789e28324be8643e6caca,General_Trending_Risky,6250,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x311358fda82b53ad1523abb2908be722d766116f,General_Trending_Risky,5992,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x000000000000d43e334f64e2ae7a8cf488f9ca91,General_Trending_Risky,5979,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x343dbbb9435632af4b6d6734a8691daee0f8892a,General_Trending_Risky,5878,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x0f1e9f728f1071cbb8b29846adb6db79fda234b6,General_Trending_Risky,5783,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x09d4fa0b40d38a4ce28f81a8b726fcffcb57ff8b,General_Trending_Risky,5669,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xfef8dff05e0e4bc2903e433fb462262c721ad30f,General_Trending_Risky,5346,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x625b02b687ec38f3085af5b108dda410775fa76a,General_Trending_Risky,5296,3,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0xc4d1439e0b4699f2eba7d662577197dfd62741fa,General_Trending_Risky,5217,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xaac3ec1c9ab815ae95536c7b3491ebcc9cccde66,General_Trending_Risky,5118,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x22dcf18fda7eb5e1fed0a53568d702de8107f638,General_Trending_Risky,5117,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x97149cd6f88adb6a6facbdf379cfebd4476a8d09,General_Trending_Risky,5029,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x00000000009fb6869c8213a8e2d8dfa6260b59a4,General_Trending_Risky,5023,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x54798fca4adf8f68e132f360e0110054ca4e947c,General_Trending_Risky,4992,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x20f663cea80face82acdfa3aae6862d246ce0333,General_Trending_Risky,4899,4,"The address is found to be associated with some already known malicious addresses.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x264302b4c78f41326f72e2411610b7549358c4f7,General_Trending_Risky,4889,4,"The address is related to a coin mixer platform such as Tornado.Cash, which could mean some potential risks, please be careful of scam risk"
2023-09-14,0x37c7a9fd970e982b2cfa33717d27243e0576cde7,General_Trending_Risky,4889,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xc748673057861a797275cd8a068abb95a902e8de,General_Trending_Risky,4886,3,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x844020b85692e534b8b8d0262c82c59cbc129e41,General_Trending_Risky,4881,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x066aee69d93dee28b32a57febd1878a2d94f6b0c,General_Trending_Risky,4870,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x70c8faf21feb4a6cc8821fa829a949fabfc775f8,General_Trending_Risky,4835,3,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0xba509bdb71a29301860800e13867b59b461747af,Top_TVL_Risky_Pool,42432,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x04f46cdfe8dd348e41902eef1aff19ace1661f4c,Top_TVL_Risky_Pool,22901,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0x75ca521892de7f2ecfb070cab545c250d0ceb7e3,Top_TVL_Risky_Pool,13879,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x4d1e90ab966ae26c778b2f9f365aa40abb13f53c,Top_TVL_Risky_Pool,12096,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x97149cd6f88adb6a6facbdf379cfebd4476a8d09,Top_TVL_Risky_Pool,7037,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x82030cdbd9e4b7c5bb0b811a61da6360d69449cc,Top_TVL_Risky_Pool,5453,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x20f663cea80face82acdfa3aae6862d246ce0333,Top_TVL_Risky_Pool,5344,4,"The address is found to be associated with some already known malicious addresses.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x066aee69d93dee28b32a57febd1878a2d94f6b0c,Top_TVL_Risky_Pool,4876,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xabe776435f7459e2f5ba773bfb753ed19a053dd0,Top_TVL_Risky_Pool,4468,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xb86126b872e3f23bc62d6a4a3152ec65202a2073,Top_TVL_Risky_Pool,4466,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x1f1c90aeb2fd13ea972f0a71e35c0753848e3db0,Top_TVL_Risky_Pool,3869,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0x93023f1d3525e273f291b6f76d2f5027a39bf302,Top_TVL_Risky_Pool,3819,4,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0x3e195dd3c55568362dcab32a61d253c1ca365786,Top_TVL_Risky_Pool,3620,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xdd63525fab69a97224962a076a642bfcf0714f2e,Top_TVL_Risky_Pool,2850,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0xb1d4e33dd4aa6204bc8aae340b67455a662f038a,Top_TVL_Risky_Pool,2392,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x9767c8e438aa18f550208e6d1fdf5f43541cc2c8,Top_TVL_Risky_Pool,1879,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x83d3c2d1a55687498df6800c5f173ec6a7556089,Top_TVL_Risky_Pool,1853,5,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0x9fb9a33956351cf4fa040f65a13b835a3c8764e3,Top_TVL_Risky_Pool,1799,4,The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xd983ab71a284d6371908420d8ac6407ca943f810,Top_TVL_Risky_Pool,1599,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x7645444525bb2bd69ad23db57d3fc7b4fe3cda31,Top_TVL_Risky_Pool,1494,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x6cf271270662be1c4fc1b7bb7d7d7fc60cc19125,Top_TVL_Risky_Pool,1345,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x3ab7014d0e896a8e486fbf5bc590eeb93d6f44bf,Top_TVL_Risky_Pool,1154,4,"The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0xa4838122c683f732289805fc3c207febd55babdd,Top_TVL_Risky_Pool,1089,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x150cbd6e82d63db545ff8904de365b9154b0b386,Top_TVL_Risky_Pool,893,4,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0x9a2478c4036548864d96a97fbf93f6a3341fedac,Top_TVL_Risky_Pool,860,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0xed470f8deef3b19b91d00d821f0207e9f2310225,Top_TVL_Risky_Pool,852,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0x30e66008546e272243e122c781042a0d2822ca70,Top_TVL_Risky_Pool,850,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x198271b868dae875bfea6e6e4045cdda5d6b9829,Top_TVL_Risky_Pool,739,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x16e79e09b3b56bcbba83667aff88dc6ca727af2e,Top_TVL_Risky_Pool,736,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x77087ab5df23cfb52449a188e80e9096201c2097,Top_TVL_Risky_Pool,705,4,"The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x1e83d06e17cae34415bea30116ac755456131020,Top_TVL_Risky_Pool,666,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some backdoor function which could mean the owner has some potentially malicious intent, please be careful of rugpull risk."
2023-09-14,0x1a97b0cf1efb5228027dd782ed5d82c901694042,Top_TVL_Risky_Pool,656,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0x111120a4cfacf4c78e0d6729274fd5a5ae2b1111,Top_TVL_Risky_Pool,645,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x8772eb993841c335185afc1a55c1d9347099e2e9,Top_TVL_Risky_Pool,626,4,"The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.; The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk."
2023-09-14,0x4238e5ccc619dcc8c00ade4cfc5d3d9020b24898,Top_TVL_Risky_Pool,599,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
